Country,Target Year,2025 Import Value,Model 1 Predicted 2026 Import Value,Model 1 Predicted Growth (%),Policy Direction,Risk Level,Opportunity Category,Prediction Explanation
Chinese Taipei,2026,1098740.0,1710511.9475484965,55.679409828394036,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 55.7% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Colombia,2026,77244.0,104815.04900725032,35.69345063338294,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 35.7% in 2026, while the active policy environment is predominantly supportive."
Comoros,2026,735.0,457.27164541766774,-37.78617069147378,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 37.8% in 2026, while the active policy environment is neutral."
Congo,2026,2625.0,2659.4988100385353,1.314240382420384,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 1.3% in 2026, while the active policy environment is neutral."
"Congo, Democratic Republic of the",2026,100121.0,90026.41369345508,-10.08238661873625,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 10.1% in 2026, while the active policy environment is neutral."
Cook Islands,2026,54.0,174.53362446067771,223.21041566792167,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 223.2% in 2026, while the active policy environment is neutral."
Costa Rica,2026,22722.0,28183.63404310506,24.036766319448375,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 24.0% in 2026, while the active policy environment is neutral."
Croatia,2026,109179.0,131190.178464205,20.16063388032956,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 20.2% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Cuba,2026,59071.0,41098.416371014,-30.42539254284844,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 30.4% in 2026, while the active policy environment is neutral."
Curaçao,2026,3158.0,4998.365620201572,58.27630209631322,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 58.3% in 2026, while the active policy environment is neutral."
Cyprus,2026,9357.0,11871.430169369012,26.872183064753784,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 26.9% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Czech Republic,2026,4563440.0,4241826.473750268,-7.047611587962854,Negative,High,High risk,"Import demand is expected to decline by approximately 7.0% in 2026, while the active policy environment is also predominantly restrictive."
Côte d'Ivoire,2026,22932.0,24257.661526423697,5.780836937134559,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 5.8% in 2026, while the active policy environment is neutral."
Denmark,2026,263492.0,384566.73571311217,45.95006137306339,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 46.0% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Djibouti,2026,9404.0,7785.629609074409,-17.209383144678768,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 17.2% in 2026, while the active policy environment is neutral."
Dominica,2026,350.0,611.7152020255621,74.77577200730346,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 74.8% in 2026, while the active policy environment is neutral."
Dominican Republic,2026,22191.0,27358.036617724945,23.284379332724736,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 23.3% in 2026, while the active policy environment is neutral."
Ecuador,2026,29000.0,39443.35497491844,36.0115688790291,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 36.0% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Egypt,2026,178226.0,223921.86586898804,25.639281512791644,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 25.6% in 2026, while the active policy environment is predominantly supportive."
El Salvador,2026,9702.0,14276.127811263103,47.14623594375493,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 47.1% in 2026, while the active policy environment is neutral."
Equatorial Guinea,2026,1205.0,1268.6139187305105,5.279163380125351,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 5.3% in 2026, while the active policy environment is neutral."
Eritrea,2026,8597.0,7316.656330052132,-14.892912294380222,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 14.9% in 2026, while the active policy environment is neutral."
Estonia,2026,121527.0,145135.4628573284,19.426516623736624,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 19.4% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Eswatini,2026,657.0,1245.889779831957,89.63314761521414,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 89.6% in 2026, while the active policy environment is neutral."
Ethiopia,2026,26472.0,39826.510077373525,50.44768086043187,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 50.4% in 2026, while the active policy environment is neutral."
Falkland Islands (Malvinas),2026,142.0,234.53856870901964,65.16800613311243,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 65.2% in 2026, while the active policy environment is neutral."
Faroe Islands,2026,949.0,1282.418508181399,35.133667880020965,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 35.1% in 2026, while the active policy environment is neutral."
Fiji,2026,2806.0,3333.6130313015674,18.80303033861608,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 18.8% in 2026, while the active policy environment is neutral."
Finland,2026,930189.0,1603925.7472109008,72.43009186422339,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 72.4% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
France,2026,3149857.0,3085032.306545361,-2.0580202039216067,Negative,High,High risk,"Import demand is expected to decline by approximately 2.1% in 2026, while the active policy environment is also predominantly restrictive."
Free Zones,2026,750.0,1635.519258920396,118.06923452271944,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 118.1% in 2026, while the active policy environment is neutral."
French Polynesia,2026,4055.0,8184.3037973793525,101.83239944215421,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 101.8% in 2026, while the active policy environment is neutral."
French Southern and Antarctic Territories,2026,172.0,209.47954687605647,21.790434230265387,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 21.8% in 2026, while the active policy environment is neutral."
Gabon,2026,1678.0,2171.0193265449543,29.381366301844714,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 29.4% in 2026, while the active policy environment is neutral."
Gambia,2026,4220.0,1317.0698574065393,-68.78981380553225,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 68.8% in 2026, while the active policy environment is neutral."
Georgia,2026,6806.0,6249.48737518583,-8.176794369882012,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 8.2% in 2026, while the active policy environment is neutral."
Germany,2026,22974328.0,10325806.9285467,-55.05502085394315,Negative,High,High risk,"Import demand is expected to decline by approximately 55.1% in 2026, while the active policy environment is also predominantly restrictive."
Ghana,2026,20565.0,21546.034193202726,4.770406969135554,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 4.8% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Gibraltar,2026,191.0,297.10006317403116,55.549771295304275,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 55.5% in 2026, while the active policy environment is neutral."
Greece,2026,201251.0,239458.49346416348,18.984995584699437,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 19.0% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Greenland,2026,2126.0,1774.5364740745085,-16.5316804292329,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 16.5% in 2026, while the active policy environment is neutral."
Grenada,2026,841.0,795.5701986022497,-5.401878882015499,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 5.4% in 2026, while the active policy environment is neutral."
Guatemala,2026,31135.0,35548.10880875362,14.174108908795958,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 14.2% in 2026, while the active policy environment is neutral."
Guinea,2026,24244.0,23692.85252799058,-2.2733355552277623,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 2.3% in 2026, while the active policy environment is neutral."
Guinea-Bissau,2026,572.0,1048.5782338650083,83.31787305332313,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 83.3% in 2026, while the active policy environment is neutral."
Guyana,2026,8513.0,9388.175838789308,10.280463277214945,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 10.3% in 2026, while the active policy environment is neutral."
Haiti,2026,14990.0,17707.857670205074,18.131138560407422,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 18.1% in 2026, while the active policy environment is neutral."
Honduras,2026,39221.0,37704.65649315848,-3.866152078839191,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 3.9% in 2026, while the active policy environment is neutral."
"Hong Kong, China",2026,2545140.0,3062705.174228568,20.335430437169187,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 20.3% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Hungary,2026,1786199.0,2314614.0421877014,29.583212295365826,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 29.6% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Iceland,2026,13210.0,15338.921118623017,16.115981215919884,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 16.1% in 2026, while the active policy environment is predominantly supportive."
India,2026,4092112.0,3200316.391150075,-21.79304009396431,Negative,High,High risk,"Import demand is expected to decline by approximately 21.8% in 2026, while the active policy environment is also predominantly restrictive."
Indonesia,2026,540796.0,707338.7477195141,30.795854207411686,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 30.8% in 2026, while the active policy environment is neutral."
"Iran, Islamic Republic of",2026,21633.0,39708.13848403151,83.55354543536035,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 83.6% in 2026, while the active policy environment is neutral."
Iraq,2026,181740.0,177645.93867582394,-2.252702390324668,Negative,High,High risk,"Import demand is expected to decline by approximately 2.3% in 2026, while the active policy environment is also predominantly restrictive."
Ireland,2026,261354.0,381201.6158516011,45.856430684665675,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 45.9% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Israel,2026,344768.0,478326.7974858489,38.73874532608852,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 38.7% in 2026, while the active policy environment is neutral."
Italy,2026,1526494.0,2574925.435334113,68.68231616594058,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 68.7% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Jamaica,2026,18609.0,22376.269077695913,20.244339178332595,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 20.2% in 2026, while the active policy environment is neutral."
Japan,2026,2950590.0,3030380.6032744935,2.7042253676211603,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 2.7% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Jordan,2026,99392.0,87545.61760890127,-11.918848992976017,Negative,High,High risk,"Import demand is expected to decline by approximately 11.9% in 2026, while the active policy environment is also predominantly restrictive."
Kazakhstan,2026,30027.0,38097.63289848625,26.877919534040196,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 26.9% in 2026, while the active policy environment is predominantly supportive."
Kenya,2026,63593.0,80467.983893731,26.53591416308556,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 26.5% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Kiribati,2026,2263.0,2225.0777593084936,-1.6757508038668378,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 1.7% in 2026, while the active policy environment is neutral."
"Korea, Republic of",2026,4946958.0,7264934.291269797,46.856599374197174,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 46.9% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Kuwait,2026,7277.0,13148.428694403265,80.68474226196598,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 80.7% in 2026, while the active policy environment is neutral."
Kyrgyzstan,2026,3737.0,5436.7737680642485,45.484981751786144,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 45.5% in 2026, while the active policy environment is neutral."
Lao People's Democratic Republic,2026,3090.0,2484.18019103404,-19.605819060387052,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 19.6% in 2026, while the active policy environment is neutral."
Latvia,2026,94901.0,110466.34708043805,16.401668138837366,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 16.4% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Lebanon,2026,44520.0,83590.01709823793,87.758349277264,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 87.8% in 2026, while the active policy environment is neutral."
Lesotho,2026,873.0,2059.6141878007347,135.9237328523178,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 135.9% in 2026, while the active policy environment is neutral."
Liberia,2026,5914.0,4459.632768336141,-24.591938310176843,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 24.6% in 2026, while the active policy environment is neutral."
"Libya, State of",2026,3999.0,8068.805575566497,101.7705820346711,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 101.8% in 2026, while the active policy environment is neutral."
Lithuania,2026,131647.0,178114.2145080089,35.2968275069002,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 35.3% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Luxembourg,2026,55853.0,72247.66586451235,29.353241302190302,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 29.4% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
"Macao, China",2026,1059.0,2500.114233312593,136.0825527207359,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 136.1% in 2026, while the active policy environment is neutral."
"Macedonia, North",2026,28850.0,31220.566060413938,8.21686676053357,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 8.2% in 2026, while the active policy environment is neutral."
Madagascar,2026,13790.0,16603.539927946484,20.40275509750895,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 20.4% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Malawi,2026,4476.0,4542.457102721753,1.4847431349810591,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 1.5% in 2026, while the active policy environment is neutral."
Malaysia,2026,568165.0,823297.015674545,44.90456393381235,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 44.9% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Maldives,2026,8509.0,7146.702304081663,-16.010079867414937,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 16.0% in 2026, while the active policy environment is neutral."
Mali,2026,110231.0,82635.72302911704,-25.034043935810214,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 25.0% in 2026, while the active policy environment is neutral."
Malta,2026,4640.0,5948.806390786525,28.207034284192357,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 28.2% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Marshall Islands,2026,473.0,514.4954256630793,8.772817264921628,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 8.8% in 2026, while the active policy environment is neutral."
Mauritania,2026,5795.0,9178.687132622672,58.3897693291229,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 58.4% in 2026, while the active policy environment is neutral."
Mauritius,2026,3599.0,7733.464932588603,114.87815872710763,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 114.9% in 2026, while the active policy environment is neutral."
Mexico,2026,4280155.0,3990442.8359399475,-6.768730666530831,Negative,High,High risk,"Import demand is expected to decline by approximately 6.8% in 2026, while the active policy environment is also predominantly restrictive."
"Micronesia, Federated States of",2026,525.0,550.9733070881224,4.947296588213801,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 4.9% in 2026, while the active policy environment is neutral."
"Moldova, Republic of",2026,10396.0,11243.556423453614,8.152716654998216,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 8.2% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Mongolia,2026,19624.0,56409.36717957503,187.45091306346833,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 187.5% in 2026, while the active policy environment is neutral."
Montenegro,2026,1209.0,1769.8368262514014,46.388488523689105,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 46.4% in 2026, while the active policy environment is neutral."
Montserrat,2026,24.0,58.566918503731245,144.02882709888019,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 144.0% in 2026, while the active policy environment is neutral."
Morocco,2026,110957.0,117313.1568663404,5.72848659060754,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 5.7% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Mozambique,2026,3174.0,3581.3688386956746,12.834556984740853,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 12.8% in 2026, while the active policy environment is neutral."
Myanmar,2026,246865.0,203389.31778759774,-17.611116283151627,Positive,Low,Potential future opportunity,"Import demand is expected to decline by approximately 17.6% in 2026, although the active policy environment remains relatively supportive."
Namibia,2026,15523.0,17174.192657316875,10.637071811614218,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 10.6% in 2026, while the active policy environment is neutral."
Nepal,2026,11864.0,13637.035855959506,14.944671746118555,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 14.9% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Netherlands,2026,3445254.0,3110012.5504864724,-9.73052928792848,Negative,High,High risk,"Import demand is expected to decline by approximately 9.7% in 2026, while the active policy environment is also predominantly restrictive."
New Caledonia,2026,2754.0,6147.971875538002,123.23790397741475,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 123.2% in 2026, while the active policy environment is neutral."
New Zealand,2026,177948.0,239036.400535333,34.32935494376616,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 34.3% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Nicaragua,2026,9305.0,11777.706999737591,26.57396023361194,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 26.6% in 2026, while the active policy environment is predominantly supportive."
Niger,2026,3709.0,3378.8906600175596,-8.900224857978978,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 8.9% in 2026, while the active policy environment is neutral."
Nigeria,2026,487918.0,428249.1591232206,-12.22927641054017,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 12.2% in 2026, while the active policy environment is neutral."
Norway,2026,252272.0,357160.37076092704,41.577492056560786,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 41.6% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Oman,2026,48797.0,47292.0986391916,-3.084003854352524,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 3.1% in 2026, while the active policy environment is neutral."
Pakistan,2026,171709.0,223591.4990585671,30.215363818184905,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 30.2% in 2026, while the active policy environment is predominantly supportive."
Palau,2026,49.0,200.2636171887768,308.70125956893224,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 308.7% in 2026, while the active policy environment is neutral."
"Palestine, State of",2026,5763.0,3044.8401024296727,-47.16571052525295,Neutral,Medium,Neutral opportunity,"Import demand is expected to decline by approximately 47.2% in 2026, while the active policy environment is neutral."
Panama,2026,52039.0,77917.62803268,49.72929539898922,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 49.7% in 2026, while the active policy environment is predominantly supportive."
Papua New Guinea,2026,5522.0,6228.037487242145,12.785901616119988,Neutral,Medium,Neutral opportunity,"Import demand is expected to grow by approximately 12.8% in 2026, while the active policy environment is neutral."
Paraguay,2026,12141.0,13910.560531637604,14.57508056698462,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 14.6% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Peru,2026,63239.0,102861.1564345193,62.654622044180485,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 62.7% in 2026, while the active policy environment is predominantly supportive."
Philippines,2026,595407.0,843316.3869910628,41.63696211013017,Positive,Low,High opportunity,"Import demand is expected to grow by approximately 41.6% in 2026, while the active policy environment is predominantly supportive."
Poland,2026,1534376.0,2225754.1154186246,45.05923681148718,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 45.1% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
Portugal,2026,202813.0,262767.8636254487,29.5616472442342,Negative,High,Growing market with caution,"Import demand is expected to grow by approximately 29.6% in 2026, but the active policy environment is predominantly restrictive, indicating additional market risk."
